LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Cupang_Ciawitali_R,Sun,2017-03-19,10:00,66,22,20.8
Cupang_Ciawitali_R,Sun,2017-03-19,12:00,64,22,25.4
Cupang_Ciawitali_R,Sun,2017-03-19,14:00,60,22,27.2
Cupang_Ciawitali_R,Sun,2017-03-19,16:00,61,22,22.4
Cupang_Ciawitali_R,Sun,2017-04-09,10:00,70,22,26.4
Cupang_Ciawitali_R,Sun,2017-04-09,12:00,69,23,27.5
Cupang_Ciawitali_R,Sun,2017-04-09,14:00,69,23,26.1
Cupang_Ciawitali_R,Sun,2017-04-09,16:00,69,23,25.1
Cupang_Ciawitali_R,Sun,2017-04-16,10:00,69,21,26.5
Cupang_Ciawitali_R,Sun,2017-04-16,12:00,68,22,26.3
Cupang_Ciawitali_R,Sun,2017-04-16,14:00,67,22,24
Cupang_Ciawitali_R,Sun,2017-04-16,16:00,68,22,24.2
Cupang_Ciawitali_R,Sun,2017-04-30,10:00,64,20,27
Cupang_Ciawitali_R,Sun,2017-04-30,12:00,68,18,29
Cupang_Ciawitali_R,Sun,2017-04-30,14:00,60,24,34
Cupang_Ciawitali_R,Sun,2017-04-30,16:00,60,22,30
Cupang_Ciawitali_R,Mon,2017-05-14,10:00,61,15,22
Cupang_Ciawitali_R,Mon,2017-05-14,12:00,63,22,28
Cupang_Ciawitali_R,Mon,2017-05-14,14:00,64,21,33
Cupang_Ciawitali_R,Mon,2017-05-14,16:00,61,22,28
Cupang_Ciawitali_R,Tue,2017-05-15,10:00,62,18,23
Cupang_Ciawitali_R,Tue,2017-05-15,12:00,66,22,29
Cupang_Ciawitali_R,Tue,2017-05-15,14:00,61,23,29
Cupang_Ciawitali_R,Tue,2017-05-15,16:00,63,20,25
Cupang_Ciawitali_R,Wed,2017-05-16,10:00,68,17,26
Cupang_Ciawitali_R,Wed,2017-05-16,12:00,62,18,30
Cupang_Ciawitali_R,Wed,2017-05-16,14:00,63,21,31
Cupang_Ciawitali_R,Wed,2017-05-16,16:00,62,20,28
Cupang_Ciawitali_R,Thu,2017-05-17,10:00,70,19,23
Cupang_Ciawitali_R,Thu,2017-05-17,12:00,61,23,28
Cupang_Ciawitali_R,Thu,2017-05-17,14:00,63,23,33
Cupang_Ciawitali_R,Thu,2017-05-17,16:00,68,23,30
Cupang_Ciawitali_R,Fri,2017-05-18,10:00,68,19,22
Cupang_Ciawitali_R,Fri,2017-05-18,12:00,65,19,29
Cupang_Ciawitali_R,Fri,2017-05-18,14:00,68,22,32
Cupang_Ciawitali_R,Fri,2017-05-18,16:00,62,22,27
Cupang_Ciawitali_R,Sat,2017-05-19,10:00,64,20,25
